metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,5,0.02007483013412658,0.0003046209253794454,0.017453392947488617,0.020075 +- 0.017453
unsafe_ratio,eudm_base,5,0.65741502204831,0.0022609031259771123,0.04754895504611129,0.657415 +- 0.047549
unsafe_ratio,mpdm,5,0.37481680503820447,0.02381106656521212,0.1543083489809029,0.374817 +- 0.154308
average_velocity_mps,eudm_ai,5,13.890619736799632,0.17892676155114845,0.42299735407109634,13.890620 +- 0.422997
average_velocity_mps,eudm_base,5,13.215915351613583,5.2634283999007076e-05,0.007254948931523024,13.215915 +- 0.007255
average_velocity_mps,mpdm,5,13.097245658158496,8.117561082465104e-05,0.009009750874727393,13.097246 +- 0.009010
ud_per_km,eudm_ai,5,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,5,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_base,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,mpdm,5,0.12755842063243034,0.06508460269696012,0.25511684126486067,0.127558 +- 0.255117
distance_m,eudm_ai,5,1661.914691046925,2544.2753502006804,50.440810364234636,1661.914691 +- 50.440810
distance_m,eudm_base,5,1581.6186755059096,0.37295286158132485,0.6106986667590857,1581.618676 +- 0.610699
distance_m,mpdm,5,1566.63990704045,1.6358053189027981,1.278986051097821,1566.639907 +- 1.278986
frames,eudm_ai,5,11965.0,5.2,2.280350850198276,11965.000000 +- 2.280351
frames,eudm_base,5,11968.8,26.160000000000004,5.114684741017769,11968.800000 +- 5.114685
frames,mpdm,5,11964.0,2.0,1.4142135623730951,11964.000000 +- 1.414214
