metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,5,0.027426578662397505,4.817851380029644e-05,0.006941074398124288,0.027427 +- 0.006941
unsafe_ratio,eudm_base,5,0.34608248920610585,0.015397410281392573,0.12408630174758442,0.346082 +- 0.124086
unsafe_ratio,mpdm,5,0.7888717100781024,0.0014571663310710143,0.03817284808697164,0.788872 +- 0.038173
average_velocity_mps,eudm_ai,5,14.128860344212873,0.21958854954875567,0.46860276306137555,14.128860 +- 0.468603
average_velocity_mps,eudm_base,5,12.465966901089635,0.005653380170988756,0.07518896309292179,12.465967 +- 0.075189
average_velocity_mps,mpdm,5,12.248996162702698,0.00036613953329893363,0.019134772883390428,12.248996 +- 0.019135
ud_per_km,eudm_ai,5,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,5,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_base,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,mpdm,5,0.1366013095850956,0.0746396711214525,0.2732026191701912,0.136601 +- 0.273203
distance_m,eudm_ai,5,1690.431454241622,3091.6629276760946,55.6027241030158,1690.431454 +- 55.602724
distance_m,eudm_base,5,1491.6306665977656,80.30441811662938,8.96127324193551,1491.630667 +- 8.961273
distance_m,mpdm,5,1465.0590234592514,6.41694547782383,2.5331690582793382,1465.059023 +- 2.533169
frames,eudm_ai,5,11966.4,16.240000000000002,4.029888335921977,11966.400000 +- 4.029888
frames,eudm_base,5,11965.4,11.84,3.4409301068170506,11965.400000 +- 3.440930
frames,mpdm,5,11962.4,5.04,2.244994432064365,11962.400000 +- 2.244994
